file,dataset,mode,step,orig_nbytes,compressed_bytes,compression_factor,encode_seconds,decode_seconds,verify_ok,verify_max_abs_err,shape,dtype,min,max,mean,std,p0p1,p1,p50,p99,p99p9,nan_frac
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155734.hdf5,data,uniform,0.1,120000000,14440061,8.310214202003717,0.13833358400734141,0.0,,,"(500, 3750)",float32,-58.527618408203125,58.61125946044922,0.0009704527910798788,3.2380573749542236,-24.421520433425904,-11.202115249633788,-0.0033667385578155518,11.336636343002324,28.602092248916858,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155734.hdf5,data,uniform,0.5,120000000,8321126,14.42112521790921,0.1428707500163,0.0,,,"(500, 3750)",float32,-58.527618408203125,58.61125946044922,0.0009704527910798788,3.2380573749542236,-24.421520433425904,-11.202115249633788,-0.0033667385578155518,11.336636343002324,28.602092248916858,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155744.hdf5,data,uniform,0.1,120000000,14389393,8.339476168313702,0.14143416698789224,0.0,,,"(500, 3750)",float32,-51.079925537109375,53.99781799316406,0.00034877032157965004,2.8657116889953613,-21.97310294723511,-10.051006050109862,0.004345141351222992,9.850216321945194,19.838235618591582,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155744.hdf5,data,uniform,0.5,120000000,8285387,14.483330712252789,0.13932783299242146,0.0,,,"(500, 3750)",float32,-51.079925537109375,53.99781799316406,0.00034877032157965004,2.8657116889953613,-21.97310294723511,-10.051006050109862,0.004345141351222992,9.850216321945194,19.838235618591582,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155754.hdf5,data,uniform,0.1,120000000,14535060,8.255899872446347,0.1356089589826297,0.0,,,"(500, 3750)",float32,-60.13392639160156,78.06076049804688,-0.001181569299660623,2.8546996116638184,-21.70844351196289,-10.302204427719117,0.0028917714953422546,9.90741599082947,20.06493006134035,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155754.hdf5,data,uniform,0.5,120000000,8379814,14.320126914511468,0.14138070898479782,0.0,,,"(500, 3750)",float32,-60.13392639160156,78.06076049804688,-0.001181569299660623,2.8546996116638184,-21.70844351196289,-10.302204427719117,0.0028917714953422546,9.90741599082947,20.06493006134035,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155804.hdf5,data,uniform,0.1,120000000,14497088,8.2775244242154,0.13874929200392216,0.0,,,"(500, 3750)",float32,-69.14983367919922,73.80838012695312,0.00013794297410640866,2.9551305770874023,-21.738786012649538,-10.015253086090087,-0.002012699842453003,10.305938816070558,23.578873918533528,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155804.hdf5,data,uniform,0.5,120000000,8367237,14.3416518499476,0.14595641699270345,0.0,,,"(500, 3750)",float32,-69.14983367919922,73.80838012695312,0.00013794297410640866,2.9551305770874023,-21.738786012649538,-10.015253086090087,-0.002012699842453003,10.305938816070558,23.578873918533528,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155814.hdf5,data,uniform,0.1,120000000,14559167,8.242229792405018,0.13855075000901707,0.0,,,"(500, 3750)",float32,-61.099727630615234,72.72815704345703,-0.0010364898480474949,3.3899786472320557,-28.763546363830567,-11.516882877349854,-0.0018969327211380005,11.625701923370361,27.25320995521606,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155814.hdf5,data,uniform,0.5,120000000,8400930,14.284132828151169,0.1502336249977816,0.0,,,"(500, 3750)",float32,-61.099727630615234,72.72815704345703,-0.0010364898480474949,3.3899786472320557,-28.763546363830567,-11.516882877349854,-0.0018969327211380005,11.625701923370361,27.25320995521606,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155824.hdf5,data,uniform,0.1,120000000,14463372,8.296820409514462,0.15021695900941268,0.0,,,"(500, 3750)",float32,-66.82907104492188,81.74703979492188,-0.0017991992644965649,3.5802042484283447,-27.84550674247742,-13.14740460395813,0.004250264726579189,11.978720159530642,30.02341980361961,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155824.hdf5,data,uniform,0.5,120000000,8334928,14.397244943207667,0.14902083299239166,0.0,,,"(500, 3750)",float32,-66.82907104492188,81.74703979492188,-0.0017991992644965649,3.5802042484283447,-27.84550674247742,-13.14740460395813,0.004250264726579189,11.978720159530642,30.02341980361961,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155834.hdf5,data,uniform,0.1,120000000,14540379,8.252879790822508,0.13942604200565256,0.0,,,"(500, 3750)",float32,-79.66447448730469,79.3266372680664,-0.0010631271870806813,3.702563524246216,-30.18562862586975,-12.036103334426878,-0.0058845579624176025,12.243769569396974,32.446538963318815,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155834.hdf5,data,uniform,0.5,120000000,8387676,14.306704264685473,0.13261670799693093,0.0,,,"(500, 3750)",float32,-79.66447448730469,79.3266372680664,-0.0010631271870806813,3.702563524246216,-30.18562862586975,-12.036103334426878,-0.0058845579624176025,12.243769569396974,32.446538963318815,0.0
/Users/zak/src/undersea-cable/das24_data/20240506/dphi/155844.hdf5,data,uniform,0.1,120000000,14576680,8.232327251472901,0.14361870801076293,0.0,,,"(500, 3750)",float32,-71.83001708984375,82.37399291992188,0.0006052783573977649,3.9754347801208496,-37.040017250061034,-11.985749759674071,0.0010503986850380898,11.87311988830567,34.67467516327157,0.0
